서비스_업종_코드_명,분기당_매출_금액,점포수
철물점,11103146,3
애완동물,75150698,5
화장품,392496084,32
서적,2407009,7
의약품,1969084148,12
일반의류,62631350,8
반찬가게,313721645,3
육류판매,214549426,6
핸드폰,886952,8
편의점,4239911509,19
슈퍼마켓,1999309760,14
노래방,631990005,30
여관,1297004022,7
세탁소,105681941,10
피부관리실,41742763,17
네일숍,21297888,5
미용실,149094236,20
자동차수리,374183078,4
PC방,10886126,4
골프연습장,172693411,5
당구장,173335283,8
한의원,401762670,7
치과의원,1000954856,7
일반의원,497515092,8
예술학원,24464999,5
일반교습학원,31806598,9
커피-음료,591869346,28
호프-간이주점,2590574421,54
분식전문점,12286478,21
치킨전문점,270963499,5
패스트푸드점,126776760,4
제과점,216414186,4
양식음식점,691226399,10
일식음식점,471748037,15
중식음식점,154484948,13
한식음식점,8194196062,137
인테리어,7250362,4
철물점,15479751,5
화장품,386415402,23
의료기기,8667276,3
의약품,1212583666,8
일반의류,62631350,6
반찬가게,313721645,3
육류판매,139685640,4
편의점,3739093786,13
슈퍼마켓,2618563695,9
노래방,632027189,30
여관,1297004022,9
세탁소,11677884,5
피부관리실,4869854,13
네일숍,23810371,3
미용실,110534537,14
자동차수리,805364339,4
PC방,10886126,4
당구장,173335283,8
한의원,106531589,6
치과의원,1161408000,5
일반의원,497515092,7
스포츠 강습,53651742,11
예술학원,23298202,4
커피-음료,333238740,21
호프-간이주점,2760745412,57
분식전문점,117165399,30
치킨전문점,328827501,12
패스트푸드점,198279434,5
제과점,216414186,4
양식음식점,189934484,12
일식음식점,565153954,19
중식음식점,198974899,11
한식음식점,8708504511,159
인테리어,1807242,8
철물점,4376605,4
육류판매,13475418,3
편의점,460546078,5
슈퍼마켓,3107585651,8
노래방,228649252,13
가전제품수리,2767748,3
미용실,74841923,16
자동차수리,811287498,5
당구장,70219747,4
한의원,97313551,4
예술학원,19753933,3
커피-음료,11043956,12
호프-간이주점,977412581,19
분식전문점,116529576,15
치킨전문점,301648788,11
패스트푸드점,19701032,4
양식음식점,189934484,8
일식음식점,299603126,8
한식음식점,3978023013,78
조명용품,5662890883,9
인테리어,7250362,5
애완동물,61278017,4
화장품,21941674,17
의약품,293472418,4
청과상,9000000,3
편의점,2347095114,11
슈퍼마켓,18000000,9
노래방,490632497,23
여관,797377126,6
피부관리실,4861017,7
미용실,55411992,11
자동차수리,763196799,3
PC방,10886126,4
당구장,113054716,7
한의원,115048751,5
일반의원,928539387,6
스포츠 강습,258667100,9
예술학원,4001236,3
커피-음료,248979285,14
호프-간이주점,1605583762,38
분식전문점,109525764,23
치킨전문점,366718282,11
패스트푸드점,166372003,7
제과점,199783182,3
양식음식점,189934484,11
일식음식점,442794426,16
한식음식점,8812441257,136
화장품,419279532,33
서적,2407009,8
의약품,1212583666,10
일반의류,62631350,9
육류판매,214549426,5
핸드폰,886952,6
편의점,2635835755,18
슈퍼마켓,1999309760,10
노래방,377563879,20
여관,1349780047,9
세탁소,105681941,7
피부관리실,41742763,11
네일숍,23656212,8
미용실,183314685,19
스포츠클럽,455467242,4
골프연습장,134868818,4
당구장,161141845,7
한의원,481934713,4
치과의원,1168132350,7
일반의원,497515092,5
예술학원,26537204,4
일반교습학원,31806598,7
커피-음료,571817212,22
호프-간이주점,1827600759,37
분식전문점,130538970,21
치킨전문점,219642832,4
패스트푸드점,71502674,3
제과점,216414186,3
양식음식점,138741321,10
일식음식점,368787411,9
중식음식점,154484948,6
한식음식점,4535261442,109
